"date","open","high","low","close","volume","oi"
01/03/2014,182500,182525,182500,182525,968000,1
01/03/2014,182525,182550,182500,182550,1410000,1
01/03/2014,182550,182550,182525,182525,1742000,1
01/03/2014,182525,182550,182500,182550,1514000,1
01/03/2014,182525,182575,182525,182525,1814000,1
01/03/2014,182525,182550,182525,182525,2146000,1
01/03/2014,182525,182575,182500,182525,2942000,1
01/03/2014,182525,182525,182525,182525,0,1
01/03/2014,182525,182525,182525,182525,0,1
01/03/2014,182500,182500,182500,182500,213000,1
01/03/2014,182500,182525,182500,182525,53000,1
01/03/2014,182525,182525,182475,182500,855000,0
01/03/2014,182500,182500,182475,182475,382000,0
01/03/2014,182475,182475,182400,182450,1270000,0
01/03/2014,182450,182450,182425,182425,266000,0
01/03/2014,182450,182450,182425,182450,30000,0
01/03/2014,182450,182450,182425,182425,337000,0
01/03/2014,182425,182450,182425,182450,108000,0
01/03/2014,182450,182450,182450,182450,127000,0
01/03/2014,182450,182450,182450,182450,24000,0
01/03/2014,182425,182450,182425,182450,240000,0
01/03/2014,182450,182450,182425,182450,128000,0
01/03/2014,182450,182450,182425,182450,16000,0
01/03/2014,182450,182450,182425,182450,66000,0
01/03/2014,182425,182450,182425,182450,213000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,0
01/03/2014,182425,182425,182425,182425,4000,1
01/03/2014,182425,182425,182425,182425,4000,1
01/03/2014,182425,182425,182425,182425,4000,1
01/03/2014,182425,182425,182425,182425,4000,1
01/05/2014,182525,182525,182500,182500,26000,1
01/05/2014,182500,182525,182500,182525,43000,1
01/05/2014,182525,182525,182500,182525,12000,1
01/05/2014,182525,182525,182525,182525,0,1
01/06/2014,182475,182500,182450,182500,199000,0
01/06/2014,182500,182500,182475,182475,448000,1
01/06/2014,182500,182500,182400,182450,1931000,0
01/06/2014,182475,182475,182425,182475,1575000,0
01/06/2014,182500,182500,182450,182475,2891000,1
01/06/2014,182475,182475,182450,182475,920000,1
01/06/2014,182475,182500,182450,182475,710000,1
01/06/2014,182475,182500,182400,182400,761000,0
01/06/2014,182425,182425,182300,182300,956000,0
01/06/2014,182300,182325,182150,182150,1423000,0
01/06/2014,182175,182225,182150,182225,4426000,0
01/06/2014,182225,182250,182200,182250,1636000,0
01/06/2014,182250,182250,182225,182250,220000,0
01/06/2014,182225,182250,182150,182200,2447000,0
01/06/2014,182200,182275,182200,182250,1628000,1
01/06/2014,182250,182250,182175,182175,1112000,1
01/06/2014,182175,182300,182175,182300,2489000,1
01/06/2014,182300,182300,182250,182275,1938000,1
01/06/2014,182275,182300,182225,182250,1859000,1
01/06/2014,182250,182275,182225,182250,1336000,1
01/06/2014,182275,182325,182275,182300,1740000,1
01/06/2014,182300,182325,182300,182300,790000,1
01/06/2014,182300,182350,182300,182350,1412000,1
01/06/2014,182350,182375,182325,182350,1456000,1
01/06/2014,182325,182325,182275,182300,2314000,0
01/06/2014,182300,182350,182300,182300,1583000,0
01/06/2014,182300,182350,182300,182300,634000,0
01/06/2014,182300,182325,182300,182325,1084000,0
01/06/2014,182300,182325,182275,182300,794000,0
01/06/2014,182275,182350,182275,182300,2077000,0
01/06/2014,182325,182350,182300,182325,4897000,0
01/06/2014,182325,182325,182200,182225,4871000,0
01/06/2014,182200,182250,182175,182225,2303000,0
01/06/2014,182225,182250,182150,182175,5217000,0
01/06/2014,182175,182200,182000,182075,9772000,0
01/06/2014,182075,182075,182000,182075,6024000,0
01/06/2014,182050,182125,182050,182125,3084000,0
01/06/2014,182100,182125,182050,182100,7927000,0
01/06/2014,182100,182100,182075,182075,1813000,0
01/06/2014,182075,182100,182025,182050,4648000,0
01/06/2014,182050,182050,182000,182025,1826000,0
01/06/2014,182025,182050,182000,182025,2986000,0
01/06/2014,182050,182075,182025,182050,796000,0
01/06/2014,182050,182075,182025,182025,2698000,1
01/06/2014,182025,182075,182025,182075,1200000,1
01/06/2014,182075,182075,182025,182050,2903000,1
01/06/2014,182050,182075,182025,182075,1443000,1
