"date","tstmp","pred_dir","SAR_SIG","RANGE","SAR2SIG","WRANGE","CSAR","CSAR_SIG","port","sig_dur","mtm","sr1","sr2","sr3","lag_sr1","lag_sr2","lag_sr3","fd1","fd2","fd3","open","close"
20130115,1100,0,2,0,2,0,94.6559115,1,0,0,0,-0.717119112,-0.712521735,-0.785723319,-0.908420222,0.821765878,-0.920215041,-0.661694249,-0.702305783,-0.670598639,-50,-25
20130115,1101,0,2,-25,1,-1250,0,0,0,0,0,-0.726290145,-0.704680152,-0.739903592,-0.713948192,0.880777766,-0.920441356,-0.672951899,-0.665039872,-0.66339291,-25,25
20130115,1102,0,2,0,1,0,0,0,0,0,0,-0.740784669,-0.735452316,-0.751014741,-0.880623771,0.888722728,-0.91832451,-0.582585541,-0.637066075,-0.660405937,-25,75
20130115,1103,0,2,25,1,625,0,0,0,0,0,-0.749404427,-0.744070352,-0.764219653,-0.774161209,0.889942338,-0.922389366,-0.696782967,-0.668181626,-0.659999977,-50,50
20130115,1104,0,2,50,2,3750,40.8658203,1,0,0,0,-0.742176949,-0.748237732,-0.791126635,-0.837615636,0.828950424,-0.923908566,-0.741308705,-0.718241203,-0.677538233,-100,-50
20130115,1105,0,2,-25,2,-1875,50.5052129,1,0,0,0,-0.721209927,-0.732420009,-0.779058075,-0.827630827,0.83542433,-0.921629219,-0.528103965,-0.692808503,-0.672653706,-50,-25
20130115,1106,0,2,-25,2,-1250,43.457348,1,0,0,0,-0.733391977,-0.748887451,-0.763732653,-0.921484844,0.858942875,-0.92900763,-0.63338482,-0.663431715,-0.664919733,-50,-25
20130115,1107,0,2,0,1,0,0,0,0,0,0,-0.740697097,-0.727162193,-0.700176576,-0.883569299,0.894313545,-0.915908957,-0.567275871,-0.607925898,-0.659642902,-25,-25
20130115,1108,0,2,-25,1,-625,0,0,0,0,0,-0.734388016,-0.723907061,-0.706404638,-0.798178407,0.901464268,-0.902646078,0.567757659,-0.521042306,-0.643377731,-25,-25
20130115,1109,0,1,-25,1,-1250,-22.91,-1,0,0,0,-0.56635126,0.625795199,0.676553678,0.546407502,0.908357353,0.683995547,-0.651786988,0.557096648,-0.607378522,25,-50
20130115,1110,1,1,0,1,0,-59.0788,-1,0,10,0,0.562068092,0.704891223,0.704860757,0.60387226,0.907799177,0.795508702,-0.6600376,0.569360684,-0.608401866,25,-50
20130115,1111,1,1,-50,1,-2500,-87.913584,-1,1,11,-25,0.878937955,0.735874914,0.760546188,0.653962731,0.907444931,0.81799216,0.653877325,0.620700022,-0.587926226,75,0
20130115,1112,1,1,0,1,0,-105.611637,-1,2,12,-50,0.821191033,0.753310083,0.774442255,0.601124474,0.906529851,0.811524403,0.637871218,0.610793577,-0.594337802,75,25
20130115,1113,1,1,-25,1,-625,-100.847488,-1,3,13,-50,0.895867604,0.815393564,0.776461045,0.63761438,0.907439405,0.82791561,0.66888604,0.611719962,-0.59479468,75,25
20130115,1114,1,1,0,2,0,0,0,4,14,-50,0.828810979,0.734421327,0.731956645,0.5204325,0.908301385,0.815839012,0.535063558,0.581499067,-0.60445722,50,-25
20130115,1115,1,1,25,1,1250,-83.7023579,-1,5,15,-75,0.871054809,0.825250006,0.76021132,0.707686052,0.908634856,0.858034651,-0.535198442,0.509977895,-0.631587813,50,-25
20130115,1116,1,1,-25,1,-625,-75.76724,-1,6,16,-75,0.943978975,0.83123402,0.776477028,0.714995149,0.908240437,0.838643982,0.692692673,0.604379636,-0.598245608,75,25
20130115,1117,1,1,25,2,1250,0,0,7,17,-75,0.5831084,0.6867962,0.586189329,0.665566388,0.908590109,0.772491771,-0.516748943,-0.648776372,-0.638785765,50,-50
